OKRSEK,ZAPSANI_VOLICI,VYDANE_OBALKY,ODEVZDANE_OBALKY,PLATNE_HLASY,batch
545155-5,40,33,33,33,3
574007-1,118,93,93,91,3
598763-1,95,68,68,68,3
534803-3,100,82,82,82,3
569887-2,85,65,65,64,3
595845-1,89,70,70,70,3
530239-1,60,39,39,39,3
546127-1,476,353,353,353,3
594482-7,124,90,90,89,3
540293-1,135,94,94,94,3
572110-1,177,119,119,118,3
532037-1,197,146,146,145,3
597775-1,123,75,75,75,3
550469-1,136,93,93,93,3
559369-1,223,152,152,152,3
559351-5,146,109,109,109,3
559741-1,60,47,47,47,3
596957-1,75,56,56,56,3
534498-2,675,454,454,454,3
571385-3,718,388,388,388,3
559717-8,581,441,441,440,3
530654-1,191,155,155,153,3
564567-18,524,367,367,365,3
563820-7,66,52,52,52,3
530841-9,296,239,239,238,3
534404-1,95,65,65,65,3
570281-1,107,76,76,76,3
585319-1,224,152,152,152,3
532053-27,587,381,381,379,3
588482-1,122,80,80,79,3
537365-1,47,37,37,37,3
555771-18,80,61,61,61,3
580350-8,164,128,128,128,3
579815-3,225,169,169,169,3
545627-1,359,245,245,244,3
579874-4,205,158,158,158,3
560260-5,26,22,22,22,3
537802-3,47,32,32,32,3
586315-1,146,111,111,110,3
545988-2014,704,512,512,512,3
572900-4,101,81,81,81,3
534862-1,200,162,162,159,3
530905-6,123,95,95,95,3
537675-2,75,63,63,63,3
565954-1,304,213,213,213,3
598917-30,698,280,280,280,3
551660-4,43,37,37,37,3
561151-3,99,80,80,80,3
587141-1,592,441,441,439,3
511021-8,73,47,47,47,3
556254-6,55,43,43,43,3
588148-1,98,78,78,77,3
552798-1,179,141,141,137,3
573655-1,193,142,142,140,3
556955-7,83,62,62,62,3
597996-6,61,48,48,48,3
529630-1,258,190,190,187,3
597686-1,111,75,75,75,3
553131-9,150,106,106,106,3
574121-7,433,295,295,294,3
529711-1,67,45,45,45,3
558052-5,53,39,39,37,3
555321-18,478,292,292,292,3
578576-4,535,375,375,371,3
500224-10103,647,496,496,493,3
