KODZASTUP,N_OKRSEK,KRAJ,MANDATY,NAZEVZAST,OKRES,POCOBYV,N_STRANA,type
542644,2,7200,15,Francova Lhota,7203,1483,5,rt
542679,2,7200,15,Halenkov,7203,2391,6,rt
542768,2,7200,15,Hovězí,7203,2352,2,rt
542784,2,7200,15,Huslenky,7203,2161,4,rt
542911,2,7200,15,Karolinka,7203,2426,5,rt
542989,6,7200,15,Kelč,7203,2655,2,rt
544248,4,2100,9,Pavlíkov,2112,1045,5,rt
544256,90,3100,45,České Budějovice,3101,93426,11,rt
544281,8,3100,17,Borovany,3101,4137,6,rt
544299,3,3100,9,Boršov nad Vltavou,3101,1997,3,rt
544302,7,7200,15,Lešná,7203,2033,4,rt
544337,2,5100,7,Hamr na Jezeře,5101,432,4,rt
544388,7,3100,15,Dolní Bukovsko,3101,1674,4,rt
544418,2,7200,11,Loučka,7203,799,4,rt
544426,7,3100,15,Dříteň,3101,1676,5,rt
544485,7,3100,21,Hluboká nad Vltavou,3101,5353,9,rt
544493,2,3100,11,Homole,3101,1629,3,rt
544515,3,3100,15,Horní Stropnice,3101,1470,4,rt
544566,3,7200,15,Nový Hrozenkov,7203,2509,7,rt
544591,4,3100,15,Chrášťany,3101,733,3,rt
544639,5,3100,15,Jílovice,3101,1026,3,rt
544663,3,3100,15,Kamenný Újezd,3101,2512,4,rt
544736,4,3100,15,Ledenice,3101,2467,4,rt
544744,3,3100,9,Libín,3101,430,4,rt
544761,2,3100,7,Lipí,3101,667,2,rt
544779,4,3100,21,Lišov,3101,4508,12,rt
544795,3,3100,9,Litvínovice,3101,2691,2,rt
544809,2,3100,9,Ločenice,3101,752,3,rt
544841,14,7200,21,Rožnov pod Radhoštěm,7203,16077,7,rt
544868,3,3100,15,Nové Hrady,3101,2499,4,rt
544892,2,3100,9,Olešník,3101,789,2,rt
544949,2,7200,15,Valašská Bystřice,7203,2230,2,rt
544981,3,3100,15,Rudolfov,3101,2530,6,rt
545015,3,3100,7,Sedlec,3101,526,2,rt
545058,26,7200,25,Valašské Meziříčí,7203,21883,8,rt
545066,2,3100,9,Srubec,3101,2901,3,rt
545147,2,7200,9,Velká Lhota,7203,506,6,rt
545155,6,3100,11,Temelín,3101,857,5,rt
545163,2,7200,15,Velké Karlovice,7203,2310,3,rt
545171,11,3100,23,Trhové Sviny,3101,5187,8,rt
545201,12,3100,21,Týn nad Vltavou,3101,7804,9,rt
545236,3,7200,15,Zašová,7203,3024,4,rt
545252,5,7200,21,Zubří,7203,5450,8,rt
545287,4,3100,11,Všemyslice,3101,1108,4,rt
545341,3,3100,15,Zliv,3101,3495,4,rt
545384,7,3100,15,Žimutice,3101,620,3,rt
545392,16,3100,23,Český Krumlov,3102,12461,11,rt
545473,2,3100,15,Dolní Třebonín,3102,1351,4,rt
545511,2,3100,15,Horní Planá,3102,1993,6,rt
545554,2,3100,15,Kájov,3102,1870,6,rt
545562,9,3100,21,Kaplice,3102,6984,13,rt
545571,2,3100,15,Křemže,3102,2918,5,rt
545601,2,3100,11,Loučovice,3102,1503,3,rt
545821,3,3100,15,Velešín,3102,3796,5,rt
545830,3,3100,17,Větřní,3102,3758,6,rt
545848,2,3100,15,Vyšší Brod,3102,2549,4,rt
545881,30,3100,27,Jindřichův Hradec,3103,20774,13,rt
545911,47,8100,35,Moravská Ostrava a Přívoz,8106,36246,10,rt
545970,56,3200,27,Plzeň 1,3203,46744,9,rt
545988,34,3200,27,Plzeň 2-Slovany,3203,31634,8,rt
546003,63,3200,33,Plzeň 3,3203,44745,8,rt
546011,2,4200,9,Jimlín,4204,876,2,rt
546038,2,3100,11,Budíškovice,3103,710,2,rt
546046,27,8100,35,Slezská Ostrava,8106,20564,10,rt
546089,3,3100,15,České Velenice,3103,3439,5,rt
546097,2,3100,15,Český Rudolec,3103,892,6,rt
546101,2,3100,13,Číměř,3103,715,2,rt
546127,14,3100,21,Dačice,3103,7142,5,rt
546135,95,8100,45,Ostrava-Jih,8106,97226,11,rt
546208,25,3200,25,Plzeň 4,3203,22669,9,rt
546224,49,8100,45,Poruba,8106,60620,9,rt
546291,2,3100,7,Hatín,3103,232,2,rt
546364,2,3100,9,Horní Pěna,3103,574,3,rt
546461,5,3100,15,Chlum u Třeboně,3103,1885,4,rt
546542,3,3100,15,Kardašova Řečice,3103,2237,4,rt
546615,3,3100,11,Kunžak,3103,1448,7,rt
546666,2,3100,7,Lodhéřov,3103,675,3,rt
546798,4,3100,15,Nová Bystřice,3103,3192,5,rt
546801,2,3100,11,Nová Včelnice,3103,2214,2,rt
546844,3,3100,11,Novosedly nad Nežárkou,3103,690,2,rt
546941,2,6200,15,Dobšice,6207,2329,5,rt
546968,3,3100,11,Pluhův Žďár,3103,600,3,rt
547034,62,1100,35,Praha 11,1100,73166,9,rt
547042,6,1100,11,Praha-Kunratice,1100,9404,4,rt
547051,6,1100,17,Praha-Libuš,1100,9900,3,rt
547107,50,1100,35,Praha 12,1100,56605,7,rt
547115,3,1100,11,Praha-Velká Chuchle,1100,2594,5,rt
547158,2,1100,11,Praha-Nebušice,1100,2672,2,rt
547166,3,3100,15,Slavonice,3103,2282,6,rt
547174,18,1100,23,Praha 17,1100,22946,10,rt
547182,2,8100,15,Kozmice,8105,1890,4,rt
547221,2,3100,15,Stráž nad Nežárkou,3103,870,3,rt
547239,2,3100,15,Strmilov,3103,1445,2,rt
547247,3,3100,9,Stříbřec,3103,433,5,rt
547263,10,3100,13,Studená,3103,2219,7,rt
547271,5,1100,15,Praha-Suchdol,1100,6481,3,rt
547280,7,3100,17,Suchdol nad Lužnicí,3103,3527,6,rt
547298,2,1100,15,Praha-Ďáblice,1100,3595,3,rt
547301,4,1100,15,Praha-Dolní Chabry,1100,4825,4,rt
547310,8,1100,21,Praha-Čakovice,1100,11432,5,rt
547336,12,3100,25,Třeboň,3103,8092,7,rt
547344,6,1100,15,Praha 19,1100,7095,5,rt
547361,32,1100,31,Praha 14,1100,46178,10,rt
547379,2,1100,15,Praha-Dolní Měcholupy,1100,3612,3,rt
547387,23,1100,31,Praha 15,1100,33722,7,rt
547395,4,1100,15,Praha-Petrovice,1100,5878,6,rt
547417,12,1100,23,Praha 18,1100,21230,8,rt
547441,4,3100,11,Volfířov,3103,700,10,rt
547492,24,6100,21,Pelhřimov,6103,15755,10,rt
547646,2,5200,15,Velké Poříčí,5203,2338,5,rt
547719,3,6100,11,Častrov,6103,623,3,rt
547760,3,6100,9,Černovice,6103,1750,4,rt
547913,4,6100,15,Horní Cerekev,6103,1786,2,rt
547999,15,6100,21,Humpolec,6103,10741,9,rt
548111,5,6100,15,Kamenice nad Lipou,6103,3634,5,rt
548383,2,6100,7,Mladé Bříště,6103,274,7,rt
548391,3,6100,7,Mnich,6103,405,2,rt
548456,6,6100,15,Nová Cerekev,6103,1138,2,rt
548464,4,6100,9,Nový Rychnov,6103,996,5,rt
548511,8,6100,15,Pacov,6103,4604,4,rt
548561,2,6100,15,Počátky,6103,2465,5,rt
548740,2,6100,9,Samšín,6103,152,17,rt
549231,5,6100,15,Žirovnice,6103,2868,3,rt
549240,29,3100,27,Písek,3104,29814,10,rt
549258,4,3100,15,Albrechtice nad Vltavou,3104,960,5,rt
549266,3,3100,15,Bernartice,3104,1323,4,rt
549339,2,3100,11,Čimelice,3104,977,2,rt
549363,4,3100,11,Dobev,3104,1026,2,rt
549380,4,3100,9,Drhovle,3104,588,4,rt
549428,2,3100,9,Hrejkovice,3104,501,3,rt
549452,2,3100,15,Chyšky,3104,1059,3,rt
549487,2,3100,11,Kestřany,3104,717,3,rt
549509,3,3100,9,Kostelec nad Vltavou,3104,396,3,rt
549517,3,3100,15,Kovářov,3104,1448,5,rt
549576,9,3100,21,Milevsko,3104,8033,7,rt
549584,3,3100,15,Mirotice,3104,1222,3,rt
549592,2,3100,15,Mirovice,3104,1595,3,rt
549665,2,8100,7,Raškovice,8102,2009,3,rt
549703,2,3100,9,Oslov,3104,339,5,rt
549771,11,3100,21,Protivín,3104,4687,4,rt
549843,2,3100,15,Sepekov,3104,1378,2,rt
550094,9,3100,21,Prachatice,3105,10588,9,rt
550167,4,3100,15,Čkyně,3105,1561,2,rt
550361,2,3100,11,Lhenice,3105,2097,3,rt
550418,4,3100,11,Malovice,3105,649,3,rt
550442,4,3100,15,Netolice,3105,2527,3,rt
550515,4,3100,15,Stachy,3105,1126,3,rt
550540,4,3100,11,Strunkovice nad Blanicí,3105,1264,2,rt
550582,2,3100,9,Těšovice,3105,311,3,rt
550621,6,3100,15,Vacov,3105,1434,2,rt
550647,7,3100,17,Vimperk,3105,7255,9,rt
550671,3,3100,15,Volary,3105,3712,5,rt
550728,5,3100,15,Zdíkov,3105,1719,4,rt
550744,5,7200,17,Kunovice,7202,5452,6,rt
550752,5,7200,17,Staré Město,7202,6552,4,rt
550787,26,3100,21,Strakonice,3106,22214,5,rt
550850,11,3100,15,Blatná,3106,6371,6,rt
550906,2,3100,7,Cehnice,3106,500,3,rt
550922,2,3100,9,Čejetice,3106,912,3,rt
550957,3,3100,11,Čestice,3106,916,4,rt
550973,70,6200,45,Brno-střed,6202,83915,8,rt
550990,25,6200,25,Brno-Žabovřesky,6202,19355,10,rt
